,review_text,review_date,review_star_rating,reviewer_city,review_useful_count,review_funny_count,review_cool_count
10,"Order never came. I ordered a large family dinner at 630pm and it never arrived. I called after 2 hours (8:30pm) and was told it was ""on its way"". After 3 hours (930pm) I called again and got spun some story about how the driver got lost. I'd prefer if they just told me it wasn't going to come so I could order something else instead. Don't order here unless you like spending your evenings going hungry!",2020-10-30,1.0,Charlotte,1,0,0
11,"Came here on a recommendation from a friend. The butter chicken was delicious. Once you're seated, they give a sesame cracker appetizer. We tried the lamb korma but didn't find it to be anything special. Definitely get the tandoori fish appetizer ! It is savoury, soft and melts in your mouth. Absolutely delicious!",2019-04-27,4.0,Toronto,2,0,0
12,"There isn't much question when it comes to Indian food in Toronto - most locals will tell you that Banjara is the best. Located practically in Christie Pits Park, this Bloorcourt Village restaurant has been around since 2003 with Chef Raj Veerella at the helm. They've even expanded into two locations. It was a done deal for me when I saw that NOW Toronto voted them #1 Best Indian Restaurant 2018, and of course that blogTO has them listed as the #1 Best Butter Chicken and #1 Best Indian Restaurant in Toronto. I was very excited to experience it all for myself and visited on a Saturday evening. They don't take reservations for parties smaller than five people but due to the restaurant's specious dining areas they often have plenty of room to seat everyone. I also appreciated the fact that they have their own dedicated parking lot, something very rare for restaurants located in the core areas of the city.As previously mentioned, the space is quite large and you will immediately be met with a buzzing restaurant and tantalizing aromas upon entry. There are several dining rooms, including an enclosed patio area that allows for a lot of beautiful natural light. The overall decor is fairly modest but you will find colourful sari-style curtains and brightly painted walls. The room is full of busy servers moving plates back and forth. I was happy to be seated in the patio area, right next to the window.The menu is very long and involves many different categories. I would almost advise to look at the menu online in advance so that you can arrive prepared! We were immediately delivered a basket of Papadum along with two sauces; a sweet tamarind chutney and a green chutney made with mint and cilantro. Papadum is a type of thin cracker. Light and crispy, this one was delightful to munch on as we waited for our order to arrive.The next thing that I always take care of right away in Indian restaurants is ordering a Masala Chai (Indian milk black tea infused with ginger and cardamom - $3.99), quite possibly my favourite beverage of all-time. Or at least one of them. There is nothing quite like a proper Indian restaurant chai. It's not at all like what you get in coffee shops. This one was exactly the way that I like it, not too sweet and full of warm spice. Chai often gets served with sugar on the side but I never use it. I find that the perfect blend of spices is usually great just the way that it is.There is also a rose lassi on the menu that I absolutely want to try next time!!Back to the food menu, you'll find sections for; appetizers, soups & salads, tandoori sizzlers, chicken, meat delights, seafood delights, vegetarian dishes, rice dishes, breads, side orders, and desserts. Like I said, there's a lot. We decided to begin with a starter and zeroed in on the list of pakoras. With six types available, it had to be the Fish Pakoras (Rolled in chickpea batter and deep fried - $7.99 for six). We had ordered these from the starters section in hopes of having them as an appetizer, IE: before the rest of our food. However, these arrived after the rest of our food. This kinda defeats the purpose of a ""starter,"" doesn't it? Regardless, they were enjoyable and I found them to be unique among all other fish pakoras that I have had in the past. I'm accustomed to my fish pakoras being mostly akin to a fishstick, with a pretty indiscernible ""fish item"" on the inside. This is not the case at Banjara. The fish inside of these pakoras was REAL. I could clearly see that it was a large, juicy piece of pink fish (possibly trout) with the skin still on. I appreciated this a lot! Pakoras always taste amazing dipped in tamarind chutney and these golden-brown, perfectly fried and crispy fish babies were no different.Our food came out extremely quickly upon ordering it (apart from the pakoras, which took longer). Our friendly server recorded our order efficiently and a parade of various servers delivered our array of bowls and plates soon after. Of course we ordered the Butter Chicken (Banjara's most famous dish - chicken tikka (white meat) cooked in the tandoor, then simmered in a creamy tomato gravy - $15.99) given its reputation of being the best in the city. I loved this. The hype is real. The pieces of chicken were large and juicy. The sauce was a gorgeous velvety bath of richness. There was a slight smokey flavour to the dish that really made it deliciously unique. A delicate mix of spices played in the smoke. Up until this point the best curry dishes that I'd ever tasted were from Lahore Karahi in London, England. This butter chicken totally compares and is worth visiting Banjara for. I will be dreaming about it.Next, from the Vegetarian Dishes section, we ordered the Navratan Korma (Potato, baby corn, paneer, peas, beans, carrot, broccoli, cauliflower & mushrooms in a creamy cashew gravy - $12.99), another favourite dish of ours. Otherwise known as ""vegetable korma,"" the word navratan refers to the nine key ingredients th",2020-01-30,5.0,Edmonton,2,0,0
13,"The food is good especially the butter chicken. However, the reason why I gave it a 3 star rating is the service and the quality check. First of all, I noticed all the customers getting the complimentary Papadum but we never got it. :( Second is I ordered the combo (I cannot remember the actual name of it). It included the main, I chose butter chicken, rice, veggies, rice pudding, pakoras and naan bread. When I got the dish the pakoras were missing. That is a ""no no"" to serve a plate to the customer with something missing and not acknowledge it. 2 eyes must of had to look at the plate before it came to me (The chef, the person at the pass and the server). Thank goodness for yelp pictures. Having an empty section looked too weird so I had to flag a server to show them a missing food item from the yelp picture. They eventually brought a bowl of them to me. However this should have been spotted even before I got the plate.My husband ordered the Beef Vindaloo. He said it was good but not the best he had in the city. Together we also ordered Paneer and thought it was ok. I guess we have been to many other Indian restaurants and had better.",2019-04-08,3.0,Calgary,1,1,0
14,"This was my first visit to Banjara Indian Cuisjne.Parking was tricky as they have an interesting parking lot.  I got a spot.The service is friendly and fast.  The restaurant is clean.They were able to serve me food that I could eat which can be tricky as I have to eat gluten free.  It was also very fast.The menu had several choice with multiple choices of meat.  There were also several vegetable choices.I ordered the okra, and the lamb roganjosh.The lamb roganjosh was unlike anything I have had elsewhere.  Very generous in the portions, and large amounts of meat in it.  It was served very different from what I have had elsewhere.I found thought it was full of lots of great ingredients including lots of fresh peppers and onions, it was lacking something.  It also looked like cat food.  The presentation of the dish could use a little tweaking.The okra was okay, but it was full of leaves that were hard to chew and stuck to my mouth. I ended up picking out the leaves.  It had a very generous amount of ginger, which I really like, but the okra also needed something.  It was a little bland.I will try this restaurant again on a different day and see if there is a difference.  I've seen this restaurant get some good reviews, so I am assuming that the meal I had today is not typical of their normal food.",2018-01-27,3.0,Newmarket,0,0,0
15,"It's about time I reviewed this place because it's been the only Indian restaurant near Downtown that I've been coming to consistently in the past 3.5 years. The taste of their food can't be beat if you're looking for Indian food downtown! I often order the malai kofta, which is served at varying spice levels depending on your order. It's the perfect creamy texture, and the kofta balls are soft and tasty (no raisins). The serving sizes are very generous and all their curries can be shared. When I order a takeout curry, I can often eat it for 2-3 meals with rice! The prices are very fair, curries are no more than $13 generally, making this my go to spot as a student when I'm craving Indian food. The service here can vary, but I go here for the food rather than the service. My only complaint would be that their naan isn't as good as other places. The garlic naan is coated with a strange garlic powder, and the other naans are just adequate.",2018-01-16,4.0,Cupertino,0,0,0
16,The best authentic Indian food in downtown. They know they difference between tandoor and oven baked. Very few places use actual tandoor grilled stuff. Love their tandoori salmon the most.Goat korma was delicious and rich in taste and flavours and so was chicken kadhai. Big portions and great customer service. Staff is very courteous and always around if you would need something,2019-01-18,5.0,Toronto,0,0,0
17,"Ordered food through their online ordering service, waited 2.5 hours and it never arrived. Called the restaurant only to discover they had no record of the order despite me receiving a confirmation email. No apology whatsoever, just an offer to re-order. No thanks...This has happened twice by the way. This will be the last.",2020-06-06,1.0,Toronto,0,0,0
18,"A friend highly recommended this place and was excited to try it in person. The service was friendly and efficient but also knew when to leave you alone which is a nice balance. I was seated promptly in the glass atrium the moment I walked in, given a papadum as a appetizer to munch on and informed that there was a button underneath the table for whenever I was ready to order. I appreciated being able to wait for the rest of the dinning party comfortably without any pressure.The lunch or dinner quick combo platters are great because you get to try the Daal curry, Aloogobi, Veggie Pakora and a dish of your choice. It also comes with rice, naan and a bit of rice pudding to end the meal with. I got the Malai Kofta, which were soft moist paneer and potato dumplings in a tomato cream gravy. The assortment of dishes that came with the combo was great, nothing was too spicy but each carried a unique flavor. The butter naan was the perfect medium to pick up all the different choices in front of me. Halfway through the meal, the table next to us got a dish of okra, so I already know what I'm ordering the next time I'm here!",2016-09-28,4.0,Toronto,1,1,0
19,"I had been previously to Banjara with some friends who new what to order and I enjoyed it. We decided to go back again, so much to choose from on the menu. The waitress was very pleasant and constantly came to fill our glasses with water.We ordered a mixed grill of items to start so that we were able to sample bite size amounts of different foods. We had veggie Pokora which was mixed vegtables in a batter. It was hard to tell what I was eating.  It all tasted the same. We had the Chicken Vindaloo..... do not order the hot.  I broke out in a sweat, my tongue was on fire. Although my husband enjoyed it. I quite enjoyed the Mango Lassi drink. A must to order for next time .  I watched the food served to all the tables and it seemed people ordered individual combination platters.   Note for next time.Parking is limited so we had to find a spot on the street.  Besure to get your parking ticket. Will go back for sure.",2018-08-10,4.0,Richmond Hill,0,0,0
20,"I love Banjara so much and couldn't recommend it enough. The portions are amazing, the flavour is perfect, and the service is so wonderful. When dining in was a possibility, everyone there was always so kind and the food was high quality. Now that we're not able to dine in, I consistently order from Banjara for special dinners at home and it's really made this time at home so comforting for my household.",2020-12-13,5.0,York,0,0,0
21,"No one eats more than I do. Seriously.I am a fat, fat man, in a little man's body. All I do is eat, then walk to the next restaurant to burn off a couple calories to eat again. I've eaten all over this great city but only started writing reviews now because the Ball & Chain's sister got invited to Yelp Elite and she can't even boil water and only eats where I tell her, so here we go:Constantly burning down, but keeps on ticking. That's the sign of a good restaurant. #resilient.They deliver for free if you spend over $30, so I usually order a ton of stuff and have leftovers for days. Their menu is daunting and can be confusing because they split out curry dishes that my Indian friends would assume are the same thing, but I've never had a bad item, just some items are better than others. Tried a shrimp dish recently and though I didn't get a ton of shrimp, they served big juicy shrimp, cooked perfectly. Nothing like those midget shrimp in shrimp fried rice...still not convinced they're actually shrimp.I generally prefer my Indian food buffets because their dishes lend very well to it, and I get to try the entire gamut without running up a massive bill, but this is my fav indian a la carte restaurant other than Pukka, but Pukka is fine dining, so different $ class.Still not sure how they got such amazing real estate right in Christie Pits park with parking...nothing like eating Indian food then playing some basketball in the park.",2019-01-25,5.0,Toronto,2,3,0
22,"Uh so I came here with a very hungry stomach and frankly wasn't all that satisfied. I ordered the seafood thali, which in other words is an ensemble of various Indian dishes in one plate; a seafood curry, jeera rice, aloo Gobi, daal and salty pakoras lmao. I know salt is a personal preference and all but lmao those were salty pakoras haha. I sound salty just talking about them. Haha no, yeah it's not funny. I don't like over salted food and both the pakoras and papad were really salty for my standards. And on the other hand the masoor daal was undersalted. Lol, but not funny.  I would say the best item from my thali was the aloo Gobi. I'm not gonna break it down and explain what that dish consists of, there is Google for that. But they do make a really nice aloo Gobi compared to a few other places I've tried. Nice thick chunks of gobi in a nice gravy. Now that's one dish I would recommend from Banjara. Good job on that!",2018-02-11,2.0,East York,1,3,0
23,"March 23, 2018** Special Note **The restaurant had a fire this week.  The web site indicates the place is closed.  Please call or check the web site before going.",2018-03-24,1.0,Toronto,1,0,0
24,"Sadly Banjara is not the once 'go to' mecca for reliably great Indian we remember. Its not what it used to be, or at least what arrived at my door last night. We moved away from Toronto a few years ago and in this post Covid lockdown world we returned and were yearning for Banjara and an authentic Indian fix. What a disappointment!  Aside from the slow delivery, the dishes just didn't sing and zing off the place as they always did. Everything tasted pretty much the same. Palak Paneer was bland & watery. The butter chicken was just meh. Even the nans seemed hard and cardboard flavored. The lamb Seekh Kababs tasted like flavorless sponge.  I could go on but overall it was a huge disappointment. Perhaps it was our memory / anticipation that hit earth but I don't think so. Three of us who know good Indian, and were big Banjara fans for years felt the same, and we threw half of it away. Maybe it's better in person but next time the yen hits we'll be ordering from elsewhere else. Sad",2020-09-23,3.0,New York,0,0,0
25,"Been here a couple times and always love the Thai's (or as they like to simplify, combos).Choose a meat, choose a sauce. Comes with pakoras (something fried), aloo goobi (curried cauliflower and potatoes), daal (lentils) rice pudding, rice and naan. It's so much!The fish is salmon and tastes delicious. We chose a sauce that had this lime flavor to it and it was pretty good!The lamb was very tender and choosing the Madras sauce was a good recommendation from the server.As soon you walk in you are greeted. They bring you pappadum (cumin spiced chips). They come refill your water multiple times and is very polite.The space has like an inside area and a ""sun room"" area. The inside area is very smokey from the kitchen.Also, you might want to leave your jacket outside the sunroom area at the front door.Parking is minimal but finding it on the side street typically isn't too hard.",2018-03-10,4.0,Toronto,0,1,0
26,This is hands down my favourite butter chicken I've found in Canada thus far! I always get spicy. Very rich creamy authentic flavours with a wonderful amount of spice. This place is always busy but worth the wait and the price is fantastic!,2019-04-19,5.0,Atlanta,0,0,0
27,"Banjara, the perfume of Christie Pits. The thing about Indian food for me, is that I crave it, and when I'm eating it the aromas are beautiful... but the smell of other peoples' vindaloos, curries and paneers often turn me off. So when I lived near Banjara and got a whiff when the wind changed, I wasn't into it... but now that it's not part of my day to day life, man do I want it. I want it all of the time. Their dine in experience, is a red velvet treat, but I usually go for delivery. Delicious, delicious tandoor straight to my door.",2015-07-16,4.0,Toronto,13,10,8
28,"If anybody can figure out a way to literally drip their roast eggplant curry into my veins, I'll email Yelp and ask if they'll let me cheat the system and give this place 6 stars. In all seriousness: I eat here all the time. It's affordable, especially if you get the Thali dinners. It's the best Indian food I've had since moving to Toronto, and that's really saying something. There are always tons of staff, so you'll never even have an empty water glass. Cannot recommend enough.",2019-02-25,5.0,Toronto,0,2,0
29,I order takeout from here at least once a month. Huge portions for the price and the best Indian food I've ever had! My fav order is the veggie combo with Aloo Gobi. And get the garlic naan. :P,2019-03-03,5.0,Edmonton,0,0,0
30,"Still a favourite, Banjara does not disappoint, I can't decide which is my favourite. Loved the pakoras, biryani and aloo baingan. Wish there were more locations to enjoy.",2020-01-27,4.0,Toronto,0,0,0
31,"The food from here is great. HOWEVER, if you are ordering from them for delivery they take FOREVER. Constantly over 2 hours for delivery, I am 10 mins away from the restaurant. When I have tried to call they either ignore the calls, or they say it's on the way and it's not. So frustrating. Really makes me think twice about ordering from here.",2020-09-07,3.0,Toronto,0,0,0
32,"Went here with a friend for a long overdue girls dinner on a weeknight. She was craving Indian food so I did a search on Yelp and decided to go back here (I had been once, years ago and enjoyed the food). I was excited for the chance to have Indian food as I truly love it.We both opted for the platter options - my friend chose goat curry and I opted for the mutter paneer (normally my fave Indian dish). The platters came with naan, rice, aloo gobi, daal, and rice pudding. I found the savoury dishes to be mostly flavourless and really greasy which was pretty disappointing. Naan was decent. The rice pudding had an odd taste to it so I only had a spoonful.While the service was good and I enjoyed my visit with my friend, I would not go out of my way to return.",2017-09-17,2.0,Toronto,0,0,1
33,"Banjara is somewhat of a Toronto staple. I've found myself coming to this spot almost every time a friend has a craving for Indian food. For several years, the prospect of the trip to the Christie Pits landmark would genuinely excite me, but hit has not been the case as of late. While the food is still OK, I no longer can find a particularly good reason for making the trek. The service was OK, though we did feel a bit rushed. Our group was seated next to the poorly ventilated kitchen and the smaller tables that were merged to seat us were comically different in size and misaligned. Though we tried a myriad of dishes, the butter chicken was the only one that tasted above average. The naans were also still tasty but I expect more than the bread to be on point when I visit the restaurant. Overall, Banjara remains a standard choice for Indian cuisine, but may need to rediscover some inspiration if they wish to keep hold of the regulars.",2017-04-26,3.0,Boston,1,1,0
34,"Indian Food yum!!! I would score it more a 3.5 only because I have had the best indian food elsewhere.  Proceeding with my comment about this place though...For $12.95, you get all sorts of goodness on your plate.  It is quite a surprise when it came to my table.  Its good to find indian food close to work that I can now go to.  I ordered the butter chicken lunch combo.  The butter chicken is tasty, so is the aloo ghobi, and the naan bread is good, the pakoras not so much.  I have had WAY better.  I left it on my plate.  Nice waitress.  Ok looking place.  There's actually parking spots which makes it convenient to go there.  I would definitely go back.",2016-12-07,4.0,Toronto,3,2,0
35,"My sister came to visit for the weekend and her only request was to go for Indian food. The food was great! We ordered WAY too much because we wanted a bit of everything and wanted left overs to take with us. The wait staff was friendly and even though the restaurant was packed (Saturday evening) someone was by every 5-10 minutes to clear plates, refill glasses, etc. Lamb curry, butter chicken, chana masala, naan bread... all hot and delicious.",2020-01-26,5.0,Old Toronto,0,0,0
36,"Good Indian food in Toronto. We ordered the lamb rajan, butter chicken, and malai kofta with a side of onion kulcha and paranthas. The lamb and chicken were ordered extra spicy and kofta at a medium, but we barely felt anything..definitely could have added more kick. Flavors were good, and the mango lassi quenched the thirst.Interior and ambiance is what you could expect of a standard Indian restaurant. The call buttons near each table were a convenient way to get the servers' attention while not having to wait too long. Service was definitely very friendly and warm. Hope to be back soon!",2017-07-19,4.0,Chicago,0,0,1
37,"Banjara is back!!!!! I rode my bike by the other day and noticed the open sign lit up and nearly squealed with joy and less than 48 hours later I was sitting among a crowd of other eager eaters at this park-adjacent temple of taste. I know this all sounds dramatic and superfluous but I was legit very upset at the news in March that they had had a kitchen fire and had to shut down, re-opening TBD. And I know I was not the only one - the barrage of ""noooooo"" 's I got from all over my various social media feeds is evidence of this. Anyway, suffice it to say, I was very happy to sit down, order a heaping plate of veggie thali (which for the uninitiated is sort of like if Indian curry and a party platter had a baby), and promptly eat the whole thing. I normally am unable to finish the dish in a single sitting (a steal at $13+tax) but call me crazy because this time I did the whole damn thing.",2018-05-23,5.0,Toronto,2,0,1
38,"Came by here with some friends for dinner on an evening to grab some lovely South Indian food. Came here for the first time and was quite impressed with overall. Walking in it doesn't seem like getting seating appears to be of any issues. Popped in at 7 PM on a Monday evening and was quickly seated. (usually about a 10 minute tops) The menu appears to have a vast selection from what I have seen. I ended up going for a more traditional dish while some friends have come here for Dosa. I ended up ordering the Lamb Masala also joining the table was the Chicken 65 and some Chicken Curry. The portions seem plentiful, and the sides of rice and garlic naan were a good and welcoming compliment to the entrees. Having the Lamb Masala, it was flavourful and a delightful dish packed with great flavor. Lamb was very tender, and the sauce packed with great flavor. If I come back, I would get the medium spice (took it safe since a recommendation of South Indian food being spicy)The Chicken 65 had a bit of a tandoori flavor with a good minor kick. A good appetizer to start out.The Dosa came on a large metal serving tray with a decent amount of potato. The sauces were unique, and one of them had a bit of a cardamom taste with gave a burst of delight. Overall a good place to visit that isn't too expensive. Do recommend coming here for some good Indian food.Tip: The Contactless part of the card doesn't work.",2017-01-05,4.0,Oakland,1,2,0
39,"So I found this place on Yelp while I was looking for Indian restaurants, and looking at how popular and highly rated this place was, I decided to come here for dinner with a friend.The service was decent, however, some of our dinnerwares and glass was dirty, a big NO NO and turn off at a restaurant :(We ordered the beef curry, tandoori chicken (half), and some garlic naan on the side. The beef curry tasted quite good, and the meat was cooked perfectly where it easily falls apart. The tandoori chicken was also marinated well and tasted good. However, the garlic naan had too much butter to which I didn't like.Overall, 2 stars because the food at this place is pretty good if you are looking for some Indian food, not sure about the authenticity though. But they need to do a better job on cleaning their dishes, wouldn't be happy to see dirty dishes again if I decide to come here again.",2017-08-10,2.0,Toronto,0,0,0
40,"First Indian restaurant in Toronto I've been to -  from the 'Sauga/Brampton area so there are loads of great choices and for all these years just never sought out Indian food when in Toronto. Read a BlogTO post that had Banjara in there, and thought ya know why not? It's right down the road from Eva's Chimneys which is a huge plus, so I decided to go here.From the second I pulled in, and yes I pulled into this place because there is actual parking which is so f'n rare to have! Only about 4-6 spaces, but I went at 12pm and was lucky enough to snag a spot. Already was liking this place before opening their doors.From the moment coming in the staff was super nice -  once sat down they served poppadom complementary. I love this, and miss it. IDK what it is, but I don't find enough places in the GTA serve poppadom to you before the meal. I'm from the NYC area originally, and I just recall almost every Indian place serving poppadom and with chutney too, before every meal. Indian places in the GTA should do this more please ;)So everything was off to a good start, food came out quick and it was very tasty. Had 2 different panner dishes to try and another diner had a chicken sagg which they loved, some vegie pakoras too. Staff again was super nice, attentive, always came by to fill up water. All in all if you are in Toronto and want to have Indian or better yet, go have Indian  THEN walk down the road to get Eva's right after this is the perfect place to go to. Do it, Banjara then Eva's it's a great combo.",2017-07-31,4.0,Mississauga,0,0,0
41,"The food is good but the place is very disorganized. It's likely because they don't have a POS system. Or maybe it was broken when I ate there last week. But the place was overstaffed and servers were taking orders on their phones. We were a table of 8 and had 4 servers working on our table. They brought an extra order of the pickled lemon (which no one ate because it didn't taste good). We told them we didn't order it and they still charged one of us for it. With so many staff, mistakes get made.Also, their mains don't come with rice or naan so you have to order it separately. They do have dinner combos but it's a lot of food you may not want and would therefore go to waste.",2019-12-21,3.0,Toronto,0,0,0
42,"We're regulars, though we usually do take out. My daughter loves, loves, loves the butter chicken and the rice pudding. My husband and I enjoy many items on their menu. They have a great combo plate if you want to try a variety of items but there aren't enough of you sharing dinner. While sometimes it can get very busy, the staff is always helpful and pleasant.",2019-11-29,5.0,Toronto,0,0,0
43,"While I walking along Bloor street, I was met with a sudden stabbing for Indian food and and two choices.  Madras Masala or Banjara.Based on my previous expierences with Banjara on Yonge/Eg, I decided to go to Banjara. I got the butter chicken thali which included rice, naan, pakora and a couple of veggie curries for $11.99.The naan was delicious however I found the butter chicken was quite westernized.  I ordered mild and when I order mild at other Indian restaurants, there is usually some heat.  There was none here.  I think this place is a-ok for Indian food starters but if you are looking for very authentic, this may not the place.  So give it a try if you have friends that are apprehensive about Indian food, otherwise there are better options.Other pro's: service is great, nice ambiance.",2014-06-15,3.0,Mississauga,3,2,1
44,"If i could give a minus rating i would.   Went there last sunday (June 23rd?)with my boyfriend and a close friend who was visiting from out of town. No complaints about the food - however-  experienced the WORST customer service we've ever had at a restaurant.. Disorganized,  inept staff and  being blatantly accused  of not settling the bill when we had in fact paid already..Two incidents stand out - three different waitresses -within a space of 5 minutes - approaching our table to tell us kitchen is closing. Yes we get it. Time to settle up but just tell us once ....it wasn't late and we weren't only ones there no need to be pushy. 2nd -When bill had arrived my boyfriend paid cash (with a generous tip)to the waitress  only to have another waitress approach our table a minute or two later to ask us to  again settle up . When we told her that we had already  paid - she did not believe us.  She looked at us &  asked ""are you joking with me?"" with a raised eyebrow.  We told her ""No"" but clearly she did not believe us. As she kept lurking about and looking skeptically at us. My guest then decided to walk to the other room - where a bunch of waitresses were gathered-  to seek out the waitress who originally took our money. This waitress  denied THREE times she had  taken our money   -before she suddenly ""remembered"" when manager asked what was going on. I'm not sure if she was intending to pocket our money or was as clueless as she seemed. But an apology would have been nice.But none was offered. From her, from the manager or the one who accused us. They just shrugged it off and believe one of them might have laughed. Like what the heck????!!We're all pretty easy going but honestly i've never experienced anything like this before. Beware if you go here. We for sure won't be coming back.",2019-06-26,1.0,Toronto,1,0,0
45,"Great place for Indian in the west end/Koreatown. The only better places I'd say are in Little India. Huge fan of the garlic naan, butter chicken, and saag paneer. Spacious seating inside, can get a bit loud but otherwise good prices, service, and atmosphere!",2019-10-09,4.0,Old Toronto,0,0,0
46,"Seeing that I go to the Madras Masala which is next door, my fiancee decided we should try this place for a change. I was game since I love indian food!The place is very small and quiet. They have a ""indoor patio"" which adds to the place for seating and makes it a tad unique. The one thing that I found interesting is there is a small button like buzzer by your table. It's to notify the waitress/waiters that your ready to order or if anything is needed. I always felt a little hesitant to press it at times- but maybe that's just me! The service was very good! Attentive and quick.On to the food! We ordered Paneer Makhani, butter chicken, butter naan and saffron rice. When they came to the table, my tastebuds were jumping for joy! However, when I tasted the Paneer I felt that some flavour was lacking. The butter chicken was good once I ate more of it. But at first bites, my tastebuds were begging for more flavour. We also asked for ""Medium spice"" on everything and seemed to get very mild. The naan and rice were delicious though! So perhaps we needed to try other curries or get more of a mixture instead of two similar ones.Verdict? I will be back again to try it out and will order different ranges next time. But, as a first impression it was just A-OK.",2015-01-26,3.0,North York,0,1,0
47,"This restaurant is awesome! They had a very large and attentive staff for a Tuesday night and this place was packed! The tables are a bit tight, but it wasn't uncomfortable. I got the butter chicken dinner platter combo which was a little under $15 for about two meals worth of food. Overall great place!",2017-03-14,5.0,Salt Lake City,0,0,0
48,This place gets 5 stars from me. I love their masala chicken and garlic cheese naans. It was one of my birthday dinner meals and the server was very sweet in providing me a plate of four scoops of ice cream with a gulab jamun in the middle lit up by a candle.Delicious food.Cheap prices.Pretty good service!,2016-10-01,5.0,Toronto,1,0,0
